site_name,site_id,cammlr_region,lon,lat,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference,is_outlier,log_count,decade,species_label,count_zscore,count_minmax,PC1,PC2
Christoffersen Island,CHRI,48.2,-45.035,-60.728,gentoo penguin,27.0,12.0,1983,1983,324.0,1.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>",False,5.783825182329737,1980s,Gentoo,-0.682939370451483,0.03348191147506997,5.066807732984926,-2.678537341527829
Dorian Bay/Damoy Point,DAMO,48.1,-63.497,-64.815,gentoo penguin,22.0,1.0,1983,1982,619.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.429719478039138,1980s,Gentoo,-0.5013874502373702,0.06406136622784285,-0.569714336491494,-0.5249649405681418
Humphries Heights,HUMP,48.1,-63.864,-65.056,gentoo penguin,28.0,1.0,1983,1982,30.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,3.4339872044851463,1980s,Gentoo,-0.8638758604275819,0.003006115890950555,-1.1661621143010565,-1.7263112796137945
Joubin Islands,JOUB,48.1,-64.399,-64.774,gentoo penguin,24.0,1.0,1983,1982,41.0,1.0,nests,ground,"<p id=""parmalee1987revised"" class=""reference"">Parmalee  D. F. and J. M. Parmalee (1987). &ldquo;Revised penguin numbers and distributions for Anvers Island  Antarctica&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 76  pp. 65&ndash;73.</p>",False,3.7376696182833684,1980s,Gentoo,-0.8571061278094285,0.004146366746138695,-1.0964232339460152,-1.6131634070557443
Jougla Point,JOUG,48.1,-63.493,-64.827,gentoo penguin,19.0,1.0,1983,1982,627.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.4425401664681985,1980s,Gentoo,-0.49646400833325866,0.06489063957707059,-0.572339225081804,-0.5163143604638878
Loubat Point,LOUB,48.1,-63.926,-65.078,gentoo penguin,28.0,1.0,1983,1982,208.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.342334251964811,1980s,Gentoo,-0.7543292780611003,0.02145744791126775,-0.9709084668641378,-0.9949735071522732
Port Charcot,PCHA,48.1,-64.026,-65.067,gentoo penguin,26.0,1.0,1983,1982,318.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.765191102784844,1980s,Gentoo,-0.6866319518795667,0.03285995646314917,-0.9236779246792219,-0.8013356191266707
Powell Island,POWE,48.2,-45.029,-60.725,gentoo penguin,27.0,12.0,1983,1983,2599.0,1.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>",False,7.8632667240095735,1980s,Gentoo,0.7171644210302345,0.2693065201617083,5.69021787277515,-1.0852166811609727
Py Point,PYPT,48.1,-63.597,-64.879,gentoo penguin,22.0,1.0,1983,1982,1030.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.93828448401696,1980s,Gentoo,-0.24844562241364015,0.10666528454441795,-0.4972002980481714,-0.1764621314567927
Quinton Point (middle),QPTM,48.1,-63.683,-64.335,gentoo penguin,27.0,12.0,1983,1983,42.0,1.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>",False,3.7612001156935624,1980s,Gentoo,-0.8564906975714146,0.004250025914792163,-0.727319999644111,-1.708863015514337
